id gene_short_name num_cells_expressed q_value normalization time annotation hdaci_dex_estimate dex_estimate respond
ENSG00000143819.12 EPHX1 197 0.010148712534034 Hash 4 Dex 0 -0.454972724461408 No
ENSG00000143819.12 EPHX1 197 0.010148712534034 Hash 24 Dex 0 -0.454972724461408 No
ENSG00000124882.3 EREG 86 0.000478531115672133 Conventional 4 HDACi -0.5496471181311 -0.986634441117383 Yes
ENSG00000124882.3 EREG 112 1.6568526237153e-05 Conventional 24 HDACi -0.852071341649874 -0.986634441117383 Yes
ENSG00000124882.3 EREG 85 0.000607370806785512 Hash 4 HDACi -0.512093467612649 -1.15107233506642 Yes
ENSG00000124882.3 EREG 112 0.000288069068228857 Hash 24 HDACi -0.76149296861488 -1.15107233506642 Yes
ENSG00000099219.13 ERMP1 84 0.00239293806530899 Hash 4 Dex 0 -0.768424773937265 No
ENSG00000099219.13 ERMP1 84 0.00239293806530899 Hash 24 Dex 0 -0.768424773937265 No
ENSG00000116285.12 ERRFI1 881 3.89635536086349e-56 Conventional 4 HDACi 0.864510061825571 1.48606056868368 Yes
ENSG00000116285.12 ERRFI1 440 2.13447417751937e-53 Conventional 24 HDACi 1.20923658830619 1.48606056868368 Yes
ENSG00000116285.12 ERRFI1 877 4.48382961087316e-47 Hash 4 HDACi 0.803947368610468 1.33427023858321 Yes
ENSG00000116285.12 ERRFI1 444 2.11635641329767e-53 Hash 24 HDACi 1.26928366934142 1.33427023858321 Yes
ENSG00000141446.10 ESCO1 26 0.0269299597959052 Hash 4 Dex 0 -1.07426579968575 No
ENSG00000141446.10 ESCO1 26 0.0269299597959052 Hash 24 Dex 0 -1.07426579968575 No
ENSG00000117868.15 ESYT2 896 6.32807527642356e-23 Conventional 4 HDACi 0.524850699024984 0.689883422372156 Yes
ENSG00000117868.15 ESYT2 426 2.69415947114572e-28 Conventional 24 HDACi 0.881735531569198 0.689883422372156 Yes
ENSG00000117868.15 ESYT2 893 1.54932370804425e-21 Hash 4 HDACi 0.505771592636521 0.661988785371664 Yes
ENSG00000117868.15 ESYT2 430 8.49795705357882e-28 Hash 24 HDACi 0.903244989136233 0.661988785371664 Yes
ENSG00000182197.10 EXT1 1652 8.39664214231804e-08 Hash 4 HDACi -0.23130204930221 -0.578620229895811 Yes
ENSG00000182197.10 EXT1 742 0.0085700023422628 Hash 24 HDACi -0.240921074335826 -0.578620229895811 Yes
ENSG00000065809.13 FAM107B 1528 1.58372756679957e-11 Hash 4 HDACi -0.285244573631403 -0.541176572170933 Yes
ENSG00000065809.13 FAM107B 223 0.00189531366097226 Hash 24 Dex 0 -0.541176572170933 No
ENSG00000139132.14 FGD4 751 9.73533394026949e-98 Conventional 4 HDACi 1.22413942745656 1.95980294087521 Yes
ENSG00000139132.14 FGD4 382 2.18901744976629e-56 Conventional 24 HDACi 1.33362653462184 1.95980294087521 Yes
ENSG00000139132.14 FGD4 747 2.53726931378655e-88 Hash 4 HDACi 1.17307609056486 1.88137484059922 Yes
ENSG00000139132.14 FGD4 385 4.77715283635967e-46 Hash 24 HDACi 1.24650787145692 1.88137484059922 Yes
ENSG00000096060.14 FKBP5 696 6.41794295985134e-140 Conventional 4 HDACi 1.73859443093161 2.73332786063133 Yes
ENSG00000096060.14 FKBP5 168 2.46751188604156e-33 Conventional 24 HDACi 1.73200271997322 2.73332786063133 Yes
ENSG00000096060.14 FKBP5 693 1.00592340575032e-129 Hash 4 HDACi 1.64614959559799 2.43759778671414 Yes
ENSG00000096060.14 FKBP5 170 6.38711234216796e-41 Hash 24 HDACi 1.84111448239718 2.43759778671414 Yes
ENSG00000157827.19 FMNL2 173 0.0219705579106509 Conventional 4 Dex 0 0.525267468281822 No
ENSG00000157827.19 FMNL2 173 0.0219705579106509 Conventional 24 Dex 0 0.525267468281822 No
ENSG00000118689.14 FOXO3 141 9.36205108983445e-07 Conventional 4 HDACi 0.584439436105296 1.71876135211176 Yes
ENSG00000118689.14 FOXO3 57 0.0278135527491584 Conventional 24 HDACi 0.562716186035816 1.71876135211176 Yes
ENSG00000118689.14 FOXO3 141 1.00211903419611e-06 Hash 4 HDACi 0.55143203401109 1.67021405214183 Yes
ENSG00000118689.14 FOXO3 57 0.0126083302272268 Hash 24 HDACi 0.55195011762375 1.67021405214183 Yes
ENSG00000172159.15 FRMD3 201 0.00015868253719268 Conventional 4 Dex 0 0.689375154141145 No
ENSG00000172159.15 FRMD3 201 0.00015868253719268 Conventional 24 Dex 0 0.689375154141145 No
ENSG00000172159.15 FRMD3 201 0.0126108337123728 Hash 4 Dex 0 0.574652456885292 No
ENSG00000172159.15 FRMD3 201 0.0126108337123728 Hash 24 Dex 0 0.574652456885292 No
ENSG00000110328.5 GALNT18 137 2.95928233808826e-23 Conventional 4 Dex 0 2.07138092941226 No
ENSG00000110328.5 GALNT18 137 2.95928233808826e-23 Conventional 24 Dex 0 2.07138092941226 No
ENSG00000110328.5 GALNT18 137 5.70812400665895e-19 Hash 4 Dex 0 1.79779115090563 No
ENSG00000110328.5 GALNT18 137 5.70812400665895e-19 Hash 24 Dex 0 1.79779115090563 No
ENSG00000001084.10 GCLC 191 4.79526751271572e-05 Conventional 4 Dex 0 -0.682256346991808 No
ENSG00000001084.10 GCLC 191 4.79526751271572e-05 Conventional 24 Dex 0 -0.682256346991808 No
ENSG00000001084.10 GCLC 191 1.37121766120605e-07 Hash 4 Dex 0 -0.803476771373182 No
ENSG00000001084.10 GCLC 191 1.37121766120605e-07 Hash 24 Dex 0 -0.803476771373182 No
ENSG00000023909.9 GCLM 194 0.0141754453087685 Conventional 4 Dex 0 -0.51119245016124 No
ENSG00000023909.9 GCLM 194 0.0141754453087685 Conventional 24 Dex 0 -0.51119245016124 No
ENSG00000023909.9 GCLM 194 0.000289013667366298 Hash 4 Dex 0 -0.596147000772741 No
ENSG00000023909.9 GCLM 194 0.000289013667366298 Hash 24 Dex 0 -0.596147000772741 No
ENSG00000111846.16 GCNT2 57 0.000710581475734186 Hash 4 Dex 0 -0.83064460594956 No
ENSG00000111846.16 GCNT2 57 0.000710581475734186 Hash 24 Dex 0 -0.83064460594956 No
ENSG00000178295.14 GEN1 75 0.0179831621439769 Hash 4 Dex 0 -0.622152620099846 No
ENSG00000178295.14 GEN1 75 0.0179831621439769 Hash 24 Dex 0 -0.622152620099846 No
ENSG00000107249.21 GLIS3 1121 2.06095468205735e-29 Conventional 4 HDACi 0.546752311427294 0.887147322193649 Yes
ENSG00000107249.21 GLIS3 591 2.1901564647901e-13 Conventional 24 HDACi 0.531907050984709 0.887147322193649 Yes
ENSG00000107249.21 GLIS3 1117 1.02869921163788e-19 Hash 4 HDACi 0.473000275206662 0.669981402306159 Yes
ENSG00000107249.21 GLIS3 596 1.48029931444678e-11 Hash 24 HDACi 0.550751171554779 0.669981402306159 Yes
ENSG00000185477.4 GPRIN3 71 0.021899870890976 Hash 4 Dex 0 -0.846495994727394 No
ENSG00000185477.4 GPRIN3 71 0.021899870890976 Hash 24 Dex 0 -0.846495994727394 No
ENSG00000141449.14 GREB1L 37 0.00508193159369286 Conventional 4 Dex 0 1.29234533774322 No
ENSG00000141449.14 GREB1L 37 0.00508193159369286 Conventional 24 Dex 0 1.29234533774322 No
ENSG00000141449.14 GREB1L 37 0.0204531280654412 Hash 4 Dex 0 1.14568183430752 No
ENSG00000141449.14 GREB1L 37 0.0204531280654412 Hash 24 Dex 0 1.14568183430752 No
ENSG00000144366.15 GULP1 355 0.0201626365248959 Conventional 24 HDACi -0.29802861172951 -0.621008084885165 Yes
ENSG00000144366.15 GULP1 421 0.00286602179532807 Hash 4 HDACi -0.252713224109047 -0.779456889522343 Yes
ENSG00000144366.15 GULP1 146 1.58452685310108e-05 Conventional 4 Dex 0 -0.621008084885165 No
ENSG00000144366.15 GULP1 146 1.61853407580468e-09 Hash 24 Dex 0 -0.779456889522343 No
ENSG00000002746.14 HECW1 172 7.3523905925238e-05 Conventional 4 Dex 0 0.689909103104016 No
ENSG00000002746.14 HECW1 172 7.3523905925238e-05 Conventional 24 Dex 0 0.689909103104016 No
ENSG00000002746.14 HECW1 172 0.00838497502649855 Hash 4 Dex 0 0.552794284891718 No
ENSG00000002746.14 HECW1 172 0.00838497502649855 Hash 24 Dex 0 0.552794284891718 No
ENSG00000064393.15 HIPK2 210 2.97535375635402e-07 Conventional 4 Dex 0 0.725815284030481 No
ENSG00000064393.15 HIPK2 210 2.97535375635402e-07 Conventional 24 Dex 0 0.725815284030481 No
ENSG00000064393.15 HIPK2 210 0.000565863921966017 Hash 4 Dex 0 0.584957979114711 No
ENSG00000064393.15 HIPK2 210 0.000565863921966017 Hash 24 Dex 0 0.584957979114711 No
ENSG00000115756.12 HPCAL1 688 8.83820906773784e-13 Conventional 4 HDACi 0.400793761633477 1.05995353262433 Yes
ENSG00000115756.12 HPCAL1 171 0.00199139941073374 Conventional 24 HDACi 0.439190664632406 1.05995353262433 Yes
ENSG00000115756.12 HPCAL1 687 2.16830013850579e-10 Hash 4 HDACi 0.365379127127131 0.907704435131025 Yes
ENSG00000115756.12 HPCAL1 174 0.000224829427928546 Hash 24 HDACi 0.464732365349994 0.907704435131025 Yes
