Cell hash_umis pval qval top_to_second_best_ratio top_oligo top_hash_umi
A04_C03_RT_39 107 2.00130164641535e-256 2.80182230498149e-255 Inf D8 105
A04_C03_RT_51 173 1.51155523007021e-276 2.26733284510531e-275 Inf A7 161
A04_C03_RT_52 44 1.05425004347641e-129 1.05425004347641e-128 Inf A8 43
A04_C03_RT_58 203 8.90525874276392e-105 8.01473286848753e-104 Inf D7 202
A04_C03_RT_6 4 9.7188217751111e-05 9.7188217751111e-05 1.072 C7 2
A04_C03_RT_64 110 4.15911296696013e-75 2.91137907687209e-74 7.93305084745763 C7 99
A04_C03_RT_72 9 3.30855371606763e-18 6.61710743213525e-18 Inf A8 8
A04_C03_RT_77 85 0 0 Inf B7 81
A04_C03_RT_85 28 1.45719485434026e-65 7.28597427170131e-65 Inf C8 28
A04_C03_RT_86 183 8.79165168307831e-91 7.03332134646265e-90 Inf D7 180
A04_C03_RT_91 158 1.3687388065627e-292 2.18998209050032e-291 Inf A7 157
A04_C03_RT_93 302 7.68578144626353e-138 8.45435959088989e-137 Inf D7 286
A05_B02_RT_0 208 5.64451150214391e-130 3.95115805150073e-129 Inf F7 207
A05_B02_RT_1 229 0 0 Inf C7 226
A05_B02_RT_14 47 6.61341632956375e-44 1.57765874538287e-43 Inf E7 45
A05_B02_RT_21 102 0 0 2.32727272727273 C8 62
A05_B02_RT_29 209 7.46367774541725e-199 7.46367774541725e-198 Inf D7 208
A05_B02_RT_3 111 6.51524977937803e-309 9.12134969112924e-308 Inf B7 108
A05_B02_RT_32 103 2.29428160350124e-297 2.98256608455162e-296 Inf B7 102
A05_B02_RT_51 130 2.15848201071897e-112 1.29508920643138e-111 101.888888888889 D7 125
A05_B02_RT_56 246 2.46924109162777e-233 2.96308930995332e-232 Inf D7 244
A05_B02_RT_58 10 7.41049154320812e-29 7.41049154320812e-29 6.5 F8 6
A05_B02_RT_59 148 0 0 Inf D8 145
A05_B02_RT_67 491 0 0 Inf E7 484
A05_B02_RT_70 31 5.25886248460956e-44 1.57765874538287e-43 Inf B8 30
A05_B02_RT_72 15 1.03445954624154e-45 4.13783818496615e-45 Inf E8 13
A05_B02_RT_73 35 2.60357468281639e-54 1.30178734140819e-53 Inf B8 35
A05_B02_RT_77 48 8.75640999043447e-206 9.63205098947792e-205 Inf A8 47
A05_B02_RT_85 40 8.67728806892148e-169 7.80955926202934e-168 Inf E8 39
A05_B02_RT_87 168 1.7880978537848e-159 1.43047828302784e-158 137.133333333333 D7 167
