SampleName Cell top_oligo Axis top_hash_umi top_to_second_best_ratio
hashPyY A11_H06_RT_18 G11 1 268 Inf
hashPyY A11_H06_RT_19 H11 1 87 Inf
hashPyY A11_H06_RT_2 G11 1 915 Inf
hashPyY A11_H06_RT_24 H11 1 75 Inf
hashPyY A11_H06_RT_25 H11 1 128 Inf
hashPyY A11_H06_RT_3 H11 1 91 Inf
hashPyY A11_H06_RT_39 G11 1 338 Inf
hashPyY A11_H06_RT_47 G11 1 249 Inf
hashPyY A11_H06_RT_54 H11 1 89 Inf
hashPyY A11_H06_RT_61 G11 1 941 Inf
hashPyY A11_H06_RT_63 G11 1 405 Inf
hashPyY A11_H06_RT_64 H11 1 51 Inf
hashPyY A11_H06_RT_73 H11 1 70 Inf
hashPyY A11_H06_RT_75 G11 1 352 Inf
hashPyY A11_H06_RT_77 G11 1 361 Inf
hashPyY A11_H06_RT_81 G11 1 264 Inf
hashPyY A11_H06_RT_84 H11 1 22 Inf
hashPyY A12_D07_RT_0 H11 1 351 Inf
hashPyY A12_D07_RT_11 H11 1 788 Inf
hashPyY A12_D07_RT_52 H11 1 131 Inf
hashPyY A12_D07_RT_55 G11 1 363 Inf
hashPyY A12_D07_RT_6 H11 1 195 Inf
hashPyY A12_D07_RT_61 H11 1 86 Inf
hashPyY A12_D07_RT_63 G11 1 380 Inf
hashPyY A12_D07_RT_67 G11 1 400 Inf
hashPyY A12_D07_RT_69 H11 1 125 Inf
hashPyY A12_D07_RT_72 G11 1 200 Inf
hashPyY A12_D07_RT_74 G11 1 713 Inf
hashPyY A12_D07_RT_75 G11 1 435 Inf
hashPyY A12_D07_RT_80 H11 1 212 Inf
hashPyY A12_D07_RT_81 H11 1 165 Inf
hashPyY A12_D07_RT_83 H11 1 244 Inf
hashPyY A12_D07_RT_85 G11 1 785 Inf
hashPyY A12_D07_RT_93 G11 1 511 Inf
hashPyY A12_H06_RT_10 G11 1 328 Inf
hashPyY A12_H06_RT_2 G11 1 443 Inf
hashPyY A12_H06_RT_22 G11 1 161 Inf
hashPyY A12_H06_RT_24 G11 1 116 Inf
hashPyY A12_H06_RT_29 G11 1 224 Inf
hashPyY A12_H06_RT_39 G11 1 200 Inf
hashPyY A12_H06_RT_41 H11 1 70 Inf
hashPyY A12_H06_RT_51 H11 1 75 Inf
hashPyY A12_H06_RT_55 G11 1 319 Inf
hashPyY A12_H06_RT_59 H11 1 87 Inf
hashPyY A12_H06_RT_6 G11 1 338 Inf
hashPyY A12_H06_RT_62 G11 1 185 Inf
hashPyY A12_H06_RT_66 G11 1 234 Inf
hashPyY A12_H06_RT_71 H11 1 90 Inf
hashPyY A12_H06_RT_78 G11 1 234 Inf
hashPyY A12_H06_RT_83 G11 1 361 Inf
hashPyY A12_H06_RT_84 G11 1 291 Inf
hashPyY A12_H06_RT_87 H11 1 87 Inf
hashPyY A12_H06_RT_88 G11 1 448 Inf
hashPyY A12_H06_RT_92 G11 1 87 Inf
hashPyY A12_H06_RT_94 G11 1 296 Inf
hashPyY A12_H06_RT_95 H11 1 218 Inf
hashPyY B01_D07_RT_0 H11 1 110 Inf
hashPyY B01_D07_RT_10 H11 1 52 Inf
hashPyY B01_D07_RT_11 H11 1 123 Inf
hashPyY B01_D07_RT_13 H11 1 96 Inf
hashPyY B01_D07_RT_15 H11 1 64 Inf
hashPyY B01_D07_RT_16 H11 1 26 Inf
hashPyY B01_D07_RT_18 H11 1 47 Inf
hashPyY B01_D07_RT_20 H11 1 56 Inf
hashPyY B01_D07_RT_24 H11 1 39 Inf
hashPyY B01_D07_RT_28 H11 1 297 Inf
hashPyY B01_D07_RT_35 H11 1 80 Inf
hashPyY B01_D07_RT_39 H11 1 69 Inf
hashPyY B01_D07_RT_52 H11 1 164 Inf
hashPyY B01_D07_RT_61 H11 1 20 Inf
hashPyY B01_D07_RT_63 H11 1 53 Inf
hashPyY B01_D07_RT_79 H11 1 264 Inf
hashPyY B01_D07_RT_80 H11 1 56 Inf
hashPyY B01_D07_RT_83 H11 1 83 Inf
hashPyY B01_D07_RT_85 H11 1 40 Inf
hashPyY B01_D07_RT_9 H11 1 69 Inf
hashPyY B01_D07_RT_95 H11 1 65 Inf
hashPyY B01_H06_RT_12 H11 1 90 Inf
hashPyY B01_H06_RT_21 H11 1 68 Inf
hashPyY B01_H06_RT_38 H11 1 133 Inf
hashPyY B01_H06_RT_42 H11 1 130 Inf
hashPyY B01_H06_RT_45 H11 1 54 Inf
hashPyY B01_H06_RT_46 H11 1 78 Inf
hashPyY B01_H06_RT_5 G11 1 237 Inf
hashPyY B01_H06_RT_52 H11 1 64 Inf
hashPyY B01_H06_RT_53 H11 1 57 Inf
hashPyY B01_H06_RT_61 H11 1 141 Inf
hashPyY B01_H06_RT_7 H11 1 159 Inf
hashPyY B01_H06_RT_77 H11 1 456 Inf
hashPyY B01_H06_RT_80 H11 1 50 Inf
hashPyY B01_H06_RT_86 H11 1 18 Inf
hashPyY B01_H06_RT_87 H11 1 60 Inf
hashPyY B01_H06_RT_90 H11 1 175 Inf
hashPyY B01_H06_RT_92 H11 1 109 Inf
hashPyY B01_H06_RT_93 H11 1 81 Inf
hashPyY B02_D07_RT_0 H11 1 30 Inf
hashPyY B02_D07_RT_10 H11 1 38 Inf
hashPyY B02_D07_RT_14 H11 1 269 Inf
hashPyY B02_D07_RT_16 H11 1 57 Inf
hashPyY B02_D07_RT_21 H11 1 91 Inf
hashPyY B02_D07_RT_31 H11 1 32 Inf
hashPyY B02_D07_RT_34 H11 1 114 Inf
hashPyY B02_D07_RT_40 H11 1 16 Inf
hashPyY B02_D07_RT_46 H11 1 53 Inf
hashPyY B02_D07_RT_49 H11 1 30 Inf
hashPyY B02_D07_RT_52 H11 1 54 Inf
hashPyY B02_D07_RT_55 H11 1 40 Inf
hashPyY B02_D07_RT_62 H11 1 37 Inf
hashPyY B02_D07_RT_68 H11 1 92 Inf
hashPyY B02_D07_RT_74 H11 1 59 Inf
hashPyY B02_D07_RT_77 H11 1 59 Inf
hashPyY B02_D07_RT_80 H11 1 32 Inf
hashPyY B02_D07_RT_87 H11 1 37 Inf
hashPyY B02_D07_RT_89 H11 1 16 Inf
hashPyY B02_D07_RT_92 H11 1 79 Inf
hashPyY B02_D07_RT_93 H11 1 38 Inf
hashPyY B02_H06_RT_14 H11 1 57 Inf
hashPyY B02_H06_RT_19 H11 1 461 Inf
hashPyY B02_H06_RT_36 H11 1 22 Inf
hashPyY B02_H06_RT_51 H11 1 33 Inf
hashPyY B02_H06_RT_6 H11 1 18 Inf
hashPyY B02_H06_RT_83 H11 1 28 Inf
hashPyY B02_H06_RT_84 H11 1 30 Inf
hashPyY B03_D07_RT_11 H11 1 48 Inf
hashPyY B03_D07_RT_21 H11 1 36 Inf
hashPyY B03_D07_RT_23 H11 1 26 Inf
hashPyY B03_D07_RT_36 H11 1 54 Inf
hashPyY B03_D07_RT_37 H11 1 35 Inf
hashPyY B03_D07_RT_39 H11 1 67 Inf
hashPyY B03_D07_RT_52 H11 1 152 Inf
hashPyY B03_D07_RT_55 H11 1 49 Inf
hashPyY B03_D07_RT_56 H11 1 52 Inf
hashPyY B03_D07_RT_58 H11 1 48 Inf
hashPyY B03_D07_RT_63 H11 1 39 Inf
hashPyY B03_D07_RT_64 H11 1 59 Inf
hashPyY B03_D07_RT_69 H11 1 38 Inf
hashPyY B03_D07_RT_70 H11 1 46 Inf
hashPyY B03_D07_RT_71 H11 1 76 Inf
hashPyY B03_D07_RT_73 H11 1 21 Inf
hashPyY B03_D07_RT_75 H11 1 40 Inf
hashPyY B03_D07_RT_77 H11 1 83 Inf
hashPyY B03_D07_RT_84 H11 1 26 Inf
hashPyY B03_D07_RT_85 H11 1 60 Inf
hashPyY B03_H06_RT_15 H11 1 22 Inf
hashPyY B03_H06_RT_23 G11 1 71 Inf
hashPyY B03_H06_RT_40 H11 1 27 Inf
